studyIDX,KNODES,NGPUS,VIT_EMBED_DIM,VIT_NUM_LAYERS,VIT_NUM_HEADS,MAX_TIME_OFFSET,NUM_WORKERS,BATCH_SIZE,NTRN_BATCH,NVAL_BATCH,ANCHOR_LR,NUM_CYCLES,MIN_FRACTION,TERMINAL_STEPS,WARMUP_STEPS,train_script,allocation
# Chicoma accounts
# hickmank              y26_artimis_ddc      debug                            debug 
# hickmank              y26_artimis_ddc  gpu_debug                            debug 
# hickmank              y26_artimis_ddc   standard           debug,standard,standby 
# hickmank           y26_artimis-fmod_g      debug                            debug 
# hickmank           y26_artimis-fmod_g        gpu           debug,standard,standby 
# hickmank           y26_artimis-fmod_g  gpu_debug                            debug 
# hickmank           y26_artimis-test_g      debug                            debug 
# hickmank           y26_artimis-test_g        gpu           debug,standard,standby 
# hickmank           y26_artimis-test_g  gpu_debug                            debug 
# hickmank            y26_artimis_ddc_g      debug                            debug 
# hickmank            y26_artimis_ddc_g        gpu           debug,standard,standby 
# hickmank            y26_artimis_ddc_g  gpu_debug                            debug 
# hickmank                  t26_ai4vv_g      debug                            debug 
# hickmank                  t26_ai4vv_g        gpu           debug,standard,standby 
# hickmank                  t26_ai4vv_g  gpu_debug                            debug 
# hickmank               t26_hrznshld_g      debug                            debug 
# hickmank               t26_hrznshld_g        gpu           debug,standard,standby 
# hickmank               t26_hrznshld_g  gpu_debug                            debug
#
# This is a set of training runs for the LodeRunnerViT-20channel
#
# Model scalings found within smoketest in bomberman.py
#
# ("baseline", 512, 12, 8),
# ("narrower", 384, 12, 6),
# ("wider", 768, 12, 12),
# ("shallower", 512, 8, 8),
# ("deeper", 512, 16, 8),
# ("headier", 512, 12, 16),
# ("wide-shallow", 768, 8, 12),
# ("wide-deep", 640, 16, 10),
#
# Here we study the effect of an LR schedule on the baseline model architecture
#
# Baseline
1,1,4,512,12,8,1,2,4,1000,500,1.0e-4,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-fmod_g
#,1,4,512,12,8,1,2,8,1000,500,2.0e-4,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-test_g
#,1,4,512,12,8,1,2,8,1000,500,5.0e-4,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-test_g
#,1,4,512,12,8,1,2,8,1000,500,1.0e-3,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-test_g
#,1,4,512,12,8,1,2,8,1000,500,2.0e-3,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-test_g
# Narrower
2,1,4,384,12,6,1,2,4,1000,500,1.0e-4,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-fmod_g
# Wider
3,1,4,768,12,12,1,2,4,1000,500,1.0e-4,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-fmod_g
# Shallower
4,1,4,512,8,8,1,2,4,1000,500,1.0e-4,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-fmod_g
# Deeper
5,1,4,512,16,8,1,2,4,1000,500,1.0e-4,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-fmod_g
# Headier
6,1,4,512,12,16,1,2,4,1000,500,1.0e-4,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-fmod_g
# Wide-shallow
7,1,4,768,8,12,1,2,4,1000,500,1.0e-4,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-fmod_g
# Wide-deep
8,1,4,640,16,10,1,2,4,1000,500,1.0e-4,0.5,0.5,1000,500,train_ldrViT_ddp.py,y26_artimis-fmod_g
